dataset,views,classes,dims,n_train,n_val,n_test,oof_reliability,train_loss,test_loss,test_acc,last_model_path,best_epoch,best_val_acc,best_test_loss,best_test_acc,best_model_path,elapsed_sec,model,status,error,uncertainty_auroc
Yale,3.0,15.0,"[4096, 3304, 6750]",132.0,20.0,33.0,,,85.49249267578125,0.9090909090909091,checkpoints\Yale_ETF_last.pt,14.0,1.0,10.587409973144531,0.9393939393939394,checkpoints\Yale_ETF_best.pt,59.1650173664093,ETF,OK,,0.7888888888888889
handwritten_6views,6.0,10.0,"[240, 76, 216, 47, 64, 6]",1600.0,240.0,400.0,,,12.85016393661499,0.99,checkpoints\handwritten_6views_ETF_last.pt,21.0,0.9833333333333333,12.38451623916626,0.9825,checkpoints\handwritten_6views_ETF_best.pt,386.20055508613586,ETF,OK,,0.9494949494949495
scene15,3.0,15.0,"[1800, 1180, 1240]",3588.0,539.0,897.0,,,18.5192509335419,0.8037904124860646,checkpoints\scene15_ETF_last.pt,440.0,0.8534322820037106,15.793163064597309,0.8283166109253066,checkpoints\scene15_ETF_best.pt,537.3795139789581,ETF,OK,,0.7335613415710502
100Leaves,3.0,100.0,"[64, 64, 64]",1280.0,192.0,320.0,,,3.663398325443268,0.98125,checkpoints\100Leaves_CCML_last.pt,255.0,0.9791666666666666,3.874416708946228,0.978125,checkpoints\100Leaves_CCML_best.pt,41.58611226081848,CCML,OK,,0.6162420382165605
3Sources,3.0,6.0,"[3560, 3631, 3068]",135.0,21.0,34.0,,,2.9404184818267822,0.8823529411764706,checkpoints\3Sources_CCML_last.pt,11.0,0.9047619047619048,1.1127982139587402,0.8529411764705882,checkpoints\3Sources_CCML_best.pt,11.341233968734741,CCML,OK,,0.7666666666666667
ACM,,,,,,,,,,,,,,,,,136.0242555141449,CCML,FAILED,ValueError: Input contains infinity or a value too large for dtype('float32').,
ALOI,4.0,100.0,"[77, 13, 64, 125]",8640.0,1296.0,2160.0,,,3.709187732802497,0.9527777777777777,checkpoints\ALOI_CCML_last.pt,382.0,0.9560185185185185,3.724955355679547,0.9527777777777777,checkpoints\ALOI_CCML_best.pt,275.0165476799011,CCML,OK,,0.6073429371748699
BBC4view,,,,,,,,,,,,,,,,,0.03254199028015137,CCML,FAILED,"TypeError: Expecting miMATRIX type here, got 2119843088",
BBCSport,2.0,5.0,"[3183, 3203]",435.0,66.0,109.0,,,1.7581098079681396,0.981651376146789,checkpoints\BBCSport_CCML_last.pt,10.0,0.9696969696969697,0.9197037220001221,0.9541284403669725,checkpoints\BBCSport_CCML_best.pt,15.717482805252075,CCML,OK,,0.5280373831775701
Caltech101-7,,,,,,,,,,,,,,,,,65.70513772964478,CCML,FAILED,ValueError: Input contains infinity or a value too large for dtype('float32').,
CiteSeer,2.0,6.0,"[3312, 3703]",2649.0,398.0,663.0,,,4.250169811565232,0.7435897435897436,checkpoints\CiteSeer_CCML_last.pt,12.0,0.7613065326633166,1.6762018227109723,0.7450980392156863,checkpoints\CiteSeer_CCML_best.pt,79.57363224029541,CCML,OK,,0.7089249492900608
Cora,4.0,7.0,"[2708, 1433, 2706, 2706]",2166.0,325.0,542.0,,,2.417638278975258,0.8413284132841329,checkpoints\Cora_CCML_last.pt,65.0,0.8553846153846154,1.6057146193796419,0.8413284132841329,checkpoints\Cora_CCML_best.pt,98.90478873252869,CCML,OK,,0.6790595675234599
Handwritten,,,,,,,,,,,,,,,,,85.8637855052948,CCML,FAILED,ValueError: Input contains infinity or a value too large for dtype('float32').,
MNIST-10k,3.0,10.0,"[30, 9, 30]",8000.0,1200.0,2000.0,,,1.155966305732727,0.8985,checkpoints\MNIST-10k_CCML_last.pt,486.0,0.9116666666666666,1.1570265769958497,0.8995,checkpoints\MNIST-10k_CCML_best.pt,249.2955822944641,CCML,OK,,0.8626446376144149
MNIST-4,3.0,4.0,"[30, 9, 30]",3200.0,480.0,800.0,,,0.7682069092988968,0.9,checkpoints\MNIST-4_CCML_last.pt,305.0,0.9145833333333333,0.7891055792570114,0.89875,checkpoints\MNIST-4_CCML_best.pt,110.08153915405273,CCML,OK,,0.7540277777777779
MSRC-v5,5.0,7.0,"[24, 576, 512, 256, 254]",168.0,26.0,42.0,,,1.1560050249099731,0.9523809523809523,checkpoints\MSRC-v5_CCML_last.pt,103.0,1.0,1.1741907596588135,0.9285714285714286,checkpoints\MSRC-v5_CCML_best.pt,14.252259492874146,CCML,OK,,0.9874999999999999
Movies,2.0,17.0,"[1878, 1398]",493.0,74.0,124.0,,,7.901670932769775,0.3790322580645161,checkpoints\Movies_CCML_last.pt,16.0,0.5540540540540541,3.362133741378784,0.4112903225806452,checkpoints\Movies_CCML_best.pt,22.727495670318604,CCML,OK,,0.5891130146449296
NUS-WIDE,5.0,12.0,"[64, 144, 73, 128, 225]",1920.0,288.0,480.0,,,2.7382601499557495,0.4375,checkpoints\NUS-WIDE_CCML_last.pt,304.0,0.4756944444444444,2.7263130942980447,0.4479166666666667,checkpoints\NUS-WIDE_CCML_best.pt,100.51793575286865,CCML,OK,,0.7327336860670195
OutdoorScene,4.0,8.0,"[512, 432, 256, 48]",2150.0,323.0,538.0,,,1.473142128008449,0.8494423791821561,checkpoints\OutdoorScene_CCML_last.pt,257.0,0.8761609907120743,1.5020192254431628,0.8531598513011153,checkpoints\OutdoorScene_CCML_best.pt,83.78091526031494,CCML,OK,,0.7430639976227139
Prokaryotic,3.0,4.0,"[393, 3, 438]",440.0,66.0,111.0,,,1.3143491744995117,0.6936936936936937,checkpoints\Prokaryotic_CCML_last.pt,427.0,0.6818181818181818,1.3165035247802734,0.6846846846846847,checkpoints\Prokaryotic_CCML_best.pt,16.48486351966858,CCML,OK,,0.8605805958747136
ProteinFold,12.0,27.0,"[27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27]",555.0,84.0,139.0,,,3.6355209350585938,0.4460431654676259,checkpoints\ProteinFold_CCML_last.pt,438.0,0.5238095238095238,3.660778522491455,0.45323741007194246,checkpoints\ProteinFold_CCML_best.pt,54.52548170089722,CCML,OK,,0.7788018433179723
Reuters-1200,5.0,6.0,"[2000, 2000, 2000, 2000, 2000]",960.0,144.0,240.0,,,3.278754154841105,0.7416666666666667,checkpoints\Reuters-1200_CCML_last.pt,410.0,0.8125,3.0292099714279175,0.7416666666666667,checkpoints\Reuters-1200_CCML_best.pt,59.830087661743164,CCML,OK,,0.7855201159840521
Reuters-1500,5.0,6.0,"[21531, 24892, 34251, 15506, 11547]",1200.0,180.0,300.0,,,5.238339900970459,0.8166666666666667,checkpoints\Reuters-1500_CCML_last.pt,3.0,0.8333333333333334,1.2100778818130493,0.8066666666666666,checkpoints\Reuters-1500_CCML_best.pt,191.16883850097656,CCML,OK,,0.614025974025974
UCI,,,,,,,,,,,,,,,,,52.08097815513611,CCML,FAILED,ValueError: Input contains infinity or a value too large for dtype('float32').,
WebKB,2.0,2.0,"[1840, 3000]",840.0,126.0,211.0,,,0.3088966906070709,0.985781990521327,checkpoints\WebKB_CCML_last.pt,19.0,0.9603174603174603,0.3200168780523454,0.966824644549763,checkpoints\WebKB_CCML_best.pt,29.630353212356567,CCML,OK,,0.6858974358974359
Wikipedia,2.0,10.0,"[128, 10]",2292.0,344.0,574.0,,,2.1334859460903792,0.6550522648083623,checkpoints\Wikipedia_CCML_last.pt,159.0,0.7005813953488372,2.2014996880853634,0.6689895470383276,checkpoints\Wikipedia_CCML_best.pt,54.5767662525177,CCML,OK,,0.8165296582849775
Wikipedia-test,2.0,10.0,"[128, 10]",554.0,84.0,139.0,,,2.466399669647217,0.6330935251798561,checkpoints\Wikipedia-test_CCML_last.pt,189.0,0.6785714285714286,2.4195399284362793,0.60431654676259,checkpoints\Wikipedia-test_CCML_best.pt,17.671809196472168,CCML,OK,,0.678475935828877
Yale,,,,,,,,,,,,,,,,,10.745852708816528,CCML,FAILED,ValueError: Input contains infinity or a value too large for dtype('float32').,
handwritten_6views,,,,,,,,,,,,,,,,,78.4741895198822,CCML,FAILED,ValueError: Input contains infinity or a value too large for dtype('float32').,
scene15,,,,,,,,,,,,,,,,,118.50871515274048,CCML,FAILED,ValueError: Input contains infinity or a value too large for dtype('float32').,
100Leaves,3.0,100.0,"[64, 64, 64]",1280.0,192.0,320.0,,,3.7590426206588745,0.946875,checkpoints\100Leaves_ECML_last.pt,82.0,0.921875,4.4249396324157715,0.921875,checkpoints\100Leaves_ECML_best.pt,52.69967746734619,ECML,OK,,0.5732867404387497
3Sources,3.0,6.0,"[3560, 3631, 3068]",135.0,21.0,34.0,,,2.439237117767334,0.8529411764705882,checkpoints\3Sources_ECML_last.pt,12.0,0.9047619047619048,1.321658968925476,0.8529411764705882,checkpoints\3Sources_ECML_best.pt,10.933424234390259,ECML,OK,,0.696551724137931
ACM,5.0,3.0,"[1870, 3025, 3025, 3025, 3025]",2420.0,363.0,605.0,,,0.6251559163913254,0.9322314049586777,checkpoints\ACM_ECML_last.pt,433.0,0.9504132231404959,0.6186524326643668,0.9305785123966942,checkpoints\ACM_ECML_best.pt,150.41099643707275,ECML,OK,,0.6926137346479848
ALOI,4.0,100.0,"[77, 13, 64, 125]",8640.0,1296.0,2160.0,,,3.911960001345034,0.9268518518518518,checkpoints\ALOI_ECML_last.pt,445.0,0.9344135802469136,3.9162216230675027,0.9259259259259259,checkpoints\ALOI_ECML_best.pt,388.3392617702484,ECML,OK,,0.6231063240556911
BBC4view,,,,,,,,,,,,,,,,,0.029004812240600586,ECML,FAILED,"TypeError: Expecting miMATRIX type here, got 2119843088",
BBCSport,2.0,5.0,"[3183, 3203]",435.0,66.0,109.0,,,1.6095056533813477,0.9724770642201835,checkpoints\BBCSport_ECML_last.pt,454.0,0.9696969696969697,1.5277321338653564,0.9724770642201835,checkpoints\BBCSport_ECML_best.pt,16.388723850250244,ECML,OK,,0.660377358490566
Caltech101-7,6.0,7.0,"[48, 40, 254, 1984, 512, 928]",1179.0,177.0,295.0,,,0.6213188312821469,0.9389830508474576,checkpoints\Caltech101-7_ECML_last.pt,329.0,0.943502824858757,0.6599671547695741,0.9322033898305084,checkpoints\Caltech101-7_ECML_best.pt,76.41232514381409,ECML,OK,,0.99117529081428
CiteSeer,2.0,6.0,"[3312, 3703]",2649.0,398.0,663.0,,,2.712762784094832,0.7164404223227753,checkpoints\CiteSeer_ECML_last.pt,5.0,0.7688442211055276,1.6987333651941108,0.7360482654600302,checkpoints\CiteSeer_ECML_best.pt,81.54439091682434,ECML,OK,,0.685800671892497
Cora,4.0,7.0,"[2708, 1433, 2706, 2706]",2166.0,325.0,542.0,,,1.7340780003924212,0.8007380073800738,checkpoints\Cora_ECML_last.pt,146.0,0.84,1.5941439752649118,0.8228782287822878,checkpoints\Cora_ECML_best.pt,108.27052998542786,ECML,OK,,0.6016385048643113
Handwritten,6.0,10.0,"[216, 76, 64, 6, 240, 47]",1600.0,240.0,400.0,,,0.9629932343959808,0.9775,checkpoints\Handwritten_ECML_last.pt,67.0,0.975,1.2551195621490479,0.975,checkpoints\Handwritten_ECML_best.pt,86.01405191421509,ECML,OK,,0.9607843137254902
